UnitID,IndicatorID,CriteriaID,Name,Code,Parameters,Units,YearMin,YearMax,MonthMin,MonthMax,DepthMin,DepthMax,Metric,Response,Applied,Comments,GTC_HM,GTC_ML,STC_HM,STC_ML,SSC_HM,SSC_ML,ET,ACDEV,EQR_HG,EQR_GM,EQR_MP,EQR_PB,IW,Period,ES,SD,N,NM,GridArea,EQR,EQRS,GTC,STC,SSC,NMP,UnitArea,SE,CI,ER,BEST,W,EQRS_Class
1,1,1,Dissolved Inorganic Nitrogen,DIN,NTRA+NTRI+AMON,umol/l,2011,2016,12,2,0,10,Mean,1,1,,15,5,0,2,70,50,5,50,0.808333333333333,0.666666666666667,0.525,0.383333333333333,25,2011,5.05982456140351,1.91564617523428,38,3,14618863581.4494,0.658784369474013,0.588872051022136,100,100,100,3,15671688012.3213,0.310758844930215,0.60907614394049,1.0119649122807,3.33333333333333,,Moderate
1,1,1,Dissolved Inorganic Nitrogen,DIN,NTRA+NTRI+AMON,umol/l,2011,2016,12,2,0,10,Mean,1,1,,15,5,0,2,70,50,5,50,0.808333333333333,0.666666666666667,0.525,0.383333333333333,25,2012,5.61457142857143,2.90757429678358,35,3,14618863581.4494,0.593693281088325,0.496978749771753,100,100,100,3,15671688012.3213,0.491469757573183,0.963263024334071,1.12291428571429,3.33333333333333,,Moderate
1,1,1,Dissolved Inorganic Nitrogen,DIN,NTRA+NTRI+AMON,umol/l,2011,2016,12,2,0,10,Mean,1,1,,15,5,0,2,70,50,5,50,0.808333333333333,0.666666666666667,0.525,0.383333333333333,25,2013,6.06353741496599,1.57517274304946,49,3,14618863581.4494,0.549734108196648,0.434918740983503,100,100,100,3,15671688012.3213,0.225024677578494,0.441040263686586,1.2127074829932,3.33333333333333,,Moderate
1,1,1,Dissolved Inorganic Nitrogen,DIN,NTRA+NTRI+AMON,umol/l,2011,2016,12,2,0,10,Mean,1,1,,15,5,0,2,70,50,5,50,0.808333333333333,0.666666666666667,0.525,0.383333333333333,25,2014,5.62387596899225,1.62113062809589,43,3,14618863581.4494,0.592711032695595,0.495592046158487,100,100,100,3,15671688012.3213,0.24722010310702,0.484542498344038,1.12477519379845,3.33333333333333,,Moderate
1,1,1,Dissolved Inorganic Nitrogen,DIN,NTRA+NTRI+AMON,umol/l,2011,2016,12,2,0,10,Mean,1,1,,15,5,0,2,70,50,5,50,0.808333333333333,0.666666666666667,0.525,0.383333333333333,25,2015,6.83073333333333,1.94519225801331,50,3,15172550637.862,0.487990552502904,0.347751368239393,100,100,100,3,15671688012.3213,0.275091727270557,0.539169877895206,1.36614666666667,3.33333333333333,,Poor
1,1,1,Dissolved Inorganic Nitrogen,DIN,NTRA+NTRI+AMON,umol/l,2011,2016,12,2,0,10,Mean,1,1,,15,5,0,2,70,50,5,50,0.808333333333333,0.666666666666667,0.525,0.383333333333333,25,2016,6.23609195402299,2.35986619850086,58,3,14618863581.4494,0.5345228001622,0.413443953170165,100,100,100,3,15671688012.3213,0.309865612551382,0.607325440648152,1.2472183908046,3.33333333333333,,Moderate
2,1,1,Dissolved Inorganic Nitrogen,DIN,NTRA+NTRI+AMON,umol/l,2011,2016,12,2,0,10,Mean,1,1,,15,5,0,2,70,50,5,50,0.808333333333333,0.666666666666667,0.525,0.383333333333333,25,2011,5.84285714285714,1.2918138677004,7,3,648133374.519156,0.570497147514263,0.464231267078959,50,100,0,3,1944163057.42455,0.488259747731394,0.956971520654143,1.16857142857143,3.33333333333333,,Moderate
2,1,1,Dissolved Inorganic Nitrogen,DIN,NTRA+NTRI+AMON,umol/l,2011,2016,12,2,0,10,Mean,1,1,,15,5,0,2,70,50,5,50,0.808333333333333,0.666666666666667,0.525,0.383333333333333,25,2012,6.93888888888889,1.14298180537024,6,2,895184070.997962,0.480384307445957,0.337013139923704,50,50,0,3,1944163057.42455,0.466620368073699,0.914559115877274,1.38777777777778,3.33333333333333,,Poor
2,1,1,Dissolved Inorganic Nitrogen,DIN,NTRA+NTRI+AMON,umol/l,2011,2016,12,2,0,10,Mean,1,1,,15,5,0,2,70,50,5,50,0.808333333333333,0.666666666666667,0.525,0.383333333333333,25,2013,5.97619047619048,1.58367999546699,7,3,895184070.997962,0.557768924302789,0.446262010780408,50,100,0,3,1944163057.42455,0.598574774901937,1.17318500086197,1.1952380952381,3.33333333333333,,Moderate
